,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0,1,1,1,0,0,1,0,1,0,1,1,0,1,1,0,0,1,1,1,0
1,0,0,1,1,0,1,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0
2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1
3,0,1,0,1,0,1,1,1,1,1,1,0,0,0,1,0,1,0,0,1,1
4,0,1,1,1,0,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0
5,0,1,1,0,1,1,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1
6,0,1,1,1,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,1,1
7,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,1,1,0,1
8,1,0,0,1,1,1,0,1,1,0,0,1,0,0,1,1,1,0,0,1,1
9,0,0,0,1,0,1,0,1,0,0,0,1,1,1,0,1,1,1,0,1,1
10,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0
11,0,0,0,1,1,1,0,0,1,1,0,0,1,0,1,1,1,0,1,0,0
12,1,0,1,1,0,0,1,0,0,1,1,1,0,1,1,1,0,0,0,0,1
13,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0
14,1,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,1,1,0,1,0
